Ligne (ID);Ligne (nom court);Date de début de validité;Résolution;Image
0436;Ts36;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b2a1a157a8d0aa84a6ed5e388340adc0
0443;Ts43;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a3bb5cf7db042d4fcd81a08f1d7311ab
0451;Ts51;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5c477cbc42b9d8532a9440fbd303f17b
0454;Ts54;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9d3f714b4b088f2d0535a0c6ffca7451
0461;Ts61;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/3fedbb14ec809e926bfbec545229f1bd
0466;Ts66;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/c5223d27dc07ddf837ac790a4569b0cb
0475;Ts75;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8db0301faa1b967b02e07080b7c48f5f
0122;N2;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/adc1114fd7f3b1374f4cfce00a6730d5
0803;API;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a43484e47ad6cb26bd3627940f2d9b6e
0810;NAV;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0c6a3d4b2d7872e518821ace88dcf5cd
0901;NAV;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ad8b956d349ef4ea503b9fbfa79f0352
0001;C1;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a1573f7d9575bcd863c1a2cf34076cb9
0014;14;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9043b57c8b6976846bb6e371e6a11fb0
0034;34;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/722d43ba8ad982f8e05322d748fc6fc0
0036;36;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a523573f24299f215477382b4a158999
0050;50;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f93b9348cf95e9eadbc3ba26e6e289b8
0056;56;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9d7c683258f7323974e25c8d15662080
0057;57;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/85a2016372b01f5205a6effc1d912c51
0070;70;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/e9debd8353abd60aa49765598e15376c
0072;72;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/463d7b55d21e75d282149d87afe8f00d
0005;C5;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b170b2f2ac2e1d5b1d9b71ae55c21ef2
0012;12;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/91130ab75b254f14ef985d3a8b7afd85
0032;32;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/aaa4515186cac11aec1673f49e942bfd
0037;37;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/60c0bb503d18873bfc3c2e30a97221ee
0057;57;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ee2c612605440c7caf9d4d6308505e6c
0061;61;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2724b7b35eaa55807372764768d4ddcf
0065;65;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9e668a482ccea9a95f64ef623bc26eb7
0067;67;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4ff206286f70332a5c54d05c166610bf
0072;72;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0ad131c8ddb10fc2b1e28ca7e5cdad60
0076;76;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/822f364149391870c960f47ed17a8b2e
0080;80;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/fad4a5115f9ffc05c587441e6e65ef2f
0094;94;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/33e3a27c50699bac9de62c061462a727
0152;152ex;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f6a46134596829491b604421a2cdac58
0156;156ex;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4add8c7f3cc3c45fde029730ceaa84bd
0167;167ex;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/dcf8a32f4513fa81642f543ed974d06b
0204;204;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/782786d82855960b8d2adee2e4e66f78
0211;211;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/901afe8408a7be803f791c80f7bc8143
0216;216;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/152affb9908b64d536dabe122192fe2c
0220;220;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5cf1588500fd05baca86ee61bd60294e
0222;222;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2242e9b5bb6c3e05711c65da3c8d2c1d
0227;227;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/59ee59c671b9708fa3927aac223aab2c
0231;231;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1262bf08af0f4a3f1ad5b2d55d4faf90
0237;237;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7750480cd126244c24931ace757f9a29
0239;239;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5d1c04eee8b01314fcc828b281269d74
0405;Ts5;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9aadbe5073072370f1b8c22d68cbd1c3
0409;Ts9;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1404953f95232b29e42f0a1ffccd1444
0410;Ts10;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/14bb077c0bf660cfdaa942665d96e591
0413;Ts13;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a825e90a6a041335bcfa8595779f4c71
0445;Ts45;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8abb7de0f03bf9026d01dcc45242510d
0452;Ts52;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ccd529ab7a05094548e0b0b762437868
0454;Ts54;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/c22107ad8eadc361efbc745e08e1e71a
0461;Ts61;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ec5ace3b3184aa8ada0f9c134d3a5a66
0471;Ts71;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/36863b640697679f5f0fcd18d4dfa088
0122;N2;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ab78ff5301c445d03a7af1d25df360e2
0806;BDS;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2ca7dad86decf507278755052cda7a9e
0901;NAV;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0443e1a24349c4d57b7668d038a4d629
0801;REL-A;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0dbd63c4c24b319ffc57e838daecaa0a
0006;C6;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a48da694f06d0a75bcbdadd99defbd8d
0012;12;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/15c6415b4cc6781f439813fafd2e27b2
0031;31;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/46366a2160984110c664ffc44308c1f8
0032;32;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a3f4233c3372c51167f0efdadfa0c051
0038;38;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/d506e51663438bd4b40a88cc4abd0ae7
0040;40ex;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b1ca5c77042c801a1d1b6dd9fa4f115e
0064;64;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/49fb960faddd55c12d2ead9e9de3c68f
0065;65;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/583c67608fad741e61e90b56e0dd202f
0073;73;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f0d78d4dc1b0f377be27f31bdd60ba1b
0076;76;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9737ac2fd09196711a9d9732ff8134f2
0081;81;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a1179fcce35069cf32fc14584bb5625e
0158;KL;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/e9226a6f0185a3247773a255ecac70d1
