Ligne (nom court),Libellé long,Point d'arrêt de départ (nom)
32,Rennes (Triangle) -> Rennes (Clos Courtel),Triangle
40ex,Rennes (Clos Courtel) -> Rennes (République),Clos Courtel
41ex,Cesson-Sévigné (Champs Blancs) -> Rennes (Gares),Champs Blancs
62,Rennes (La Poterie) -> Vern-sur-Seiche -> Saint-Armel -> Corps-Nuds (Corps-Nuds Gare),
67,Brécé (Anjou) -> Rennes (République),Anjou
68,Gévezé (Cheval Blanc) -> Rennes (Villejean-Université),Cheval Blanc
74,Rennes (Henri Fréville) -> Orgères (Ormes Blanches),Henri Fréville
54,Le Rheu (Lycée Monod) -> Rennes (Charles de Gaulle),Lycée Monod
54,Le Verger (Le Verger Eglise) -> Mordelles -> Le Rheu -> Rennes (Charles de Gaulle),Le Verger Eglise
54,Cintré (Chêne Vert) -> Le Rheu -> Rennes (Charles de Gaulle),Chêne Vert
52,La Chapelle-des-Fougeretz (Besneraie) -> Montgermont -> Rennes -> Pacé -> Saint-Gilles (Ile des Bois) via Quatre Vents,Besneraie
53,Rennes (République) -> Rennes (Colin),République Pré Botté
57,Bruz (Corbières) -> Bruz (Bruz Centre),Corbières
159ex,Rennes (Henri Fréville) -> Bruz (Bruz Gare),Henri Fréville
159ex,Bruz (Bruz Gare) -> Rennes (Henri Fréville),Bruz Gare
172ex,Rennes (Henri Fréville) -> Chartres-de-Bretagne (Parc de Loisirs),Henri Fréville
173ex,Corps-Nuds (Corps-Nuds Gare) -> Rennes (La Poterie),Corps-Nuds Gare
201,Rennes (Assomption) -> Thorigné-Fouillard (Landelles),Assomption
202,Rennes (Assomption) -> Betton -> Chevaigné (Pommiers),Assomption
204,Rennes (Assomption) -> Saint-Grégoire (Champ Daguet) via Clotilde Vautier,Assomption
213,Rennes (Coubertin) -> Orgères (Surcouf),Coubertin
216,Cesson-Sévigné (Stade Dézerseul) -> Rennes (Joliot-Curie),Base de Loisirs
217,Cesson-Sévigné (Cormier) -> Rennes (Joliot-Curie),Cormier
218,Pacé (Centre scolaire Pacé) -> Saint-Gilles (Ile des Bois),Centre scolaire Pacé
81,Rennes (République) -> Pacé -> Saint-Gilles -> Clayes -> Romillé (Romillé Collège),République
81,Romillé (Romillé Collège) -> Clayes -> Saint-Gilles -> Pacé -> Rennes (Villejean-Université) via Ile des Bois,Romillé Collège
91,Noyal-Châtillon-sur-Seiche (Petite Saudrais) -> Chartres-de-Bretagne -> Bruz (Pont-Réan),Petite Saudrais
91,Bruz (Pont-Réan) -> Bruz (Bruz Centre),Pont-Réan
N1,Rennes (République) -> Rennes (Clos Courtel),République
N1,Rennes (Kennedy Guyenne) -> Rennes (République),Kennedy Guyenne
N1,Rennes (Kennedy Guyenne) -> Rennes (Clos Courtel),Kennedy Guyenne
150ex,Rennes (République) -> Thorigné-Fouillard (Landelles),République
154ex,Cintré (Chêne Vert) -> Le Rheu -> Rennes (République),Chêne Vert
155ex,Mordelles (Mordelles Pâtis) -> Rennes (République),Mordelles Pâtis
156ex,Rennes (République) -> Chavagne (Croix Blanche),République
156ex,Chavagne (Croix Blanche) -> Rennes (République),Croix Blanche
Ker-Lannex,Bruz (Schuman) -> Rennes (République),Schuman
220,Acigné (Timonière) -> Cesson-Sévigné (Chalotais),Timonière
223,Saint-Grégoire (Jean-Paul II) -> Betton (Gentilhommière),Jean-Paul II
227,Vezin-le-Coquet (Lion d'Or) -> Pacé (Centre scolaire Pacé),Lion d'Or
231,Bruz (Anita Conti) -> Pont-Péan (Bois Esnault),Anita Conti
231,Bruz (Anita Conti) -> Pont-Péan -> Laillé (Gingouillère),Anita Conti
233,Bourgbarré (Centre de Loisirs) -> Orgères -> Saint-Erblon (Collège Saint-Paul),Centre de Loisirs
234,Laillé (Orée du Bois) -> Orgères (Collège Récipon),Orée du Bois
77,Rennes (République) -> Pacé -> Parthenay-de-Bretagne (Parthenay Fontaine),République
78,Betton (Betton Centre) -> Saint-Grégoire -> Rennes (Villejean-Université),Betton Centre
74,Bourgbarré (Centre de Loisirs) -> Orgères -> Rennes (Henri Fréville),Centre de Loisirs
74,Bourgbarré (Sept Fours) -> Orgères -> Rennes (Henri Fréville),Sept Fours
238,Le Rheu (Collège Brassens) -> L'Hermitage -> La Chapelle-Thouarault (Ville aux Archers),Collège Brassens
240,Saint-Gilles (Ile des Bois) -> L'Hermitage -> Le Rheu (Lycée Monod),Ile des Bois
242,Miniac-sous-Bécherel (Miniac Eglise) -> Bécherel -> La Chapelle-Chaussée -> Romillé (Romillé Collège),Miniac Eglise
74,Orgères (Surcouf) -> Bourgbarré (Moc Souris),Surcouf
237,Le Rheu (Collège Brassens) -> Le Rheu (Haut Plessis),Collège Brassens
Ts61,Cesson-Sévigné (Prieuré Forge) -> Cesson-Sévigné (Cesson Piscine),Forge
Ts66,Le Rheu (Collège Brassens) -> Saint-Gilles (Ile des Bois),Collège Brassens
RPI-1,Bécherel (Bécherel Ecole) -> Bécherel (Bécherel Ecole),
Ts71,Romillé (Hatais Ville Greffier) -> Romillé (Romillé Collège),Hatais Ville Greffier
Ts75,La Chapelle-Chaussée (Chapelle-Chaussée) -> Saint-Grégoire (Jean-Paul II),Chapelle-Chaussée
